,Rank,Word,Part of speech,Frequency,Dispersion,Know
726,727,dead,j,55111.0,0.93,
727,728,rise,v,53542.0,0.95,1.0
728,729,animal,n,53127.0,0.96,
729,730,factor,n,57612.0,0.89,1.0
730,731,decade,n,53727.0,0.95,1.0
731,732,article,n,54871.0,0.93,1.0
732,733,shoot,v,53038.0,0.95,1.0
733,734,east,n,53010.0,0.95,
734,735,save,v,52067.0,0.97,
735,736,seven,m,52011.0,0.97,
736,737,artist,n,54353.0,0.92,
737,738,away,i,52005.0,0.96,
738,739,scene,n,51248.0,0.97,1.0
739,740,stock,n,54305.0,0.91,1.0
740,741,career,n,52101.0,0.95,1.0
741,742,despite,i,51526.0,0.96,1.0
742,743,central,j,52501.0,0.94,
743,744,eight,m,50871.0,0.97,
744,745,thus,r,57039.0,0.87,1.0
745,746,treatment,n,53390.0,0.92,1.0
746,747,beyond,i,50742.0,0.97,
747,748,happy,j,51669.0,0.95,
748,749,exactly,r,52685.0,0.93,1.0
749,750,protect,v,50649.0,0.97,1.0
750,751,approach,n,53980.0,0.91,1.0
751,752,lie,v,51657.0,0.95,
752,753,size,n,51868.0,0.95,
753,754,dog,n,52347.0,0.94,
754,755,fund,n,53859.0,0.91,
755,756,serious,j,50285.0,0.97,
756,757,occur,v,52768.0,0.93,1.0
757,758,media,n,51798.0,0.94,1.0
758,759,ready,j,50833.0,0.96,
759,760,sign,n,50045.0,0.98,
760,761,thought,n,51509.0,0.95,
761,762,list,n,50678.0,0.96,
762,763,individual,n,54738.0,0.89,1.0
763,764,simple,j,50583.0,0.96,
764,765,quality,n,52224.0,0.93,1.0
765,766,pressure,n,50773.0,0.96,1.0
766,767,accept,v,49952.0,0.97,1.0
767,768,answer,n,49969.0,0.97,
768,769,hard,r,50793.0,0.95,
769,770,resource,n,53398.0,0.9,1.0
770,771,identify,v,53484.0,0.9,1.0
771,772,left,j,50479.0,0.95,
772,773,meeting,n,49916.0,0.96,
773,774,determine,v,52130.0,0.92,1.0
774,775,prepare,v,49208.0,0.98,1.0
775,776,disease,n,51211.0,0.94,1.0
776,777,whatever,d,50200.0,0.96,
777,778,success,n,50541.0,0.95,
778,779,argue,v,51013.0,0.94,1.0
779,780,cup,n,53633.0,0.89,
780,781,particularly,r,50329.0,0.95,1.0
781,782,amount,n,49944.0,0.95,1.0
782,783,ability,n,51476.0,0.93,1.0
783,784,staff,n,50177.0,0.95,1.0
784,785,recognize,v,50042.0,0.95,1.0
785,786,indicate,v,53215.0,0.89,1.0
786,787,character,n,49530.0,0.96,1.0
787,788,growth,n,50904.0,0.93,1.0
788,789,loss,n,49759.0,0.95,
789,790,degree,n,50612.0,0.94,1.0
790,791,wonder,v,50875.0,0.93,1.0
791,792,attack,n,50898.0,0.93,1.0
792,793,herself,p,52915.0,0.89,
793,794,region,n,50914.0,0.93,1.0
794,795,television,n,49673.0,0.95,
795,796,box,n,49667.0,0.95,
796,797,TV,n,49438.0,0.95,
797,798,training,n,49997.0,0.93,1.0
798,799,pretty,r,50385.0,0.93,
799,800,trade,n,49696.0,0.94,1.0
800,801,deal,n,48975.0,0.95,1.0
801,802,election,n,51322.0,0.91,1.0
802,803,everybody,p,51147.0,0.91,
803,804,physical,j,51451.0,0.9,1.0
804,805,lay,v,49358.0,0.94,1.0
805,806,general,j,49657.0,0.93,1.0
806,807,feeling,n,47349.0,0.98,
807,808,standard,n,49876.0,0.93,1.0
808,809,bill,n,49011.0,0.94,1.0
809,810,message,n,47533.0,0.97,
810,811,fail,v,47503.0,0.97,1.0
811,812,outside,i,46628.0,0.98,1.0
812,813,arrive,v,47435.0,0.97,1.0
813,814,analysis,n,53840.0,0.85,1.0
814,815,benefit,n,48594.0,0.94,1.0
815,816,name,v,47375.0,0.97,
816,817,sex,n,47827.0,0.95,
817,818,forward,r,47877.0,0.95,1.0
818,819,lawyer,n,47853.0,0.95,1.0
819,820,present,v,49659.0,0.92,1.0
820,821,section,n,49764.0,0.91,1.0
821,822,environmental,j,51192.0,0.88,1.0
822,823,glass,n,49686.0,0.91,
823,824,answer,v,47661.0,0.95,
824,825,skill,n,50431.0,0.9,1.0
825,826,sister,n,48183.0,0.94,
826,827,PM,r,54765.0,0.82,1.0
827,828,professor,n,46575.0,0.97,1.0
828,829,operation,n,47276.0,0.95,1.0
829,830,financial,j,47803.0,0.94,1.0
830,831,crime,n,48010.0,0.93,1.0
831,832,stage,n,46346.0,0.97,1.0
832,833,ok,r,54697.0,0.82,
833,834,compare,v,48094.0,0.93,1.0
834,835,authority,n,47309.0,0.94,1.0
835,836,miss,v,46525.0,0.96,
836,837,design,n,48605.0,0.92,
837,838,sort,n,47086.0,0.95,1.0
838,839,one,n,45596.0,0.98,
839,840,act,v,45648.0,0.98,
840,841,ten,m,46827.0,0.95,
841,842,knowledge,n,50335.0,0.88,
842,843,gun,n,47305.0,0.94,
843,844,station,n,46299.0,0.96,
844,845,blue,j,47622.0,0.93,
845,846,state,v,47977.0,0.93,
846,847,strategy,n,49126.0,0.9,1.0
847,848,little,d,45469.0,0.97,
848,849,clearly,r,45912.0,0.96,
849,850,discuss,v,46852.0,0.94,
850,851,indeed,r,46184.0,0.95,
851,852,force,v,44931.0,0.97,1.0
852,853,truth,n,45155.0,0.97,
853,854,song,n,45352.0,0.96,
854,855,example,n,47134.0,0.93,
855,856,democratic,j,47299.0,0.92,1.0
856,857,check,v,45760.0,0.95,
857,858,environment,n,47807.0,0.91,
858,859,leg,n,47477.0,0.91,
859,860,dark,j,47565.0,0.91,
860,861,public,n,45684.0,0.95,
861,862,various,j,46777.0,0.92,1.0
862,863,rather,r,44934.0,0.96,1.0
863,864,laugh,v,48567.0,0.89,
864,865,guess,v,48046.0,0.9,
865,866,executive,n,47338.0,0.91,1.0
866,867,set,n,45121.0,0.96,
867,868,study,v,44897.0,0.96,
868,869,prove,v,44304.0,0.97,
869,870,hang,v,46632.0,0.92,
870,871,entire,j,43997.0,0.98,1.0
871,872,rock,n,45225.0,0.95,
872,873,design,v,45946.0,0.94,
873,874,enough,d,44378.0,0.97,
874,875,forget,v,45571.0,0.94,
875,876,since,i,45591.0,0.94,
876,877,claim,v,44259.0,0.97,1.0
877,878,note,n,44720.0,0.96,
878,879,remove,v,44683.0,0.96,1.0
879,880,manager,n,46187.0,0.93,
880,881,help,n,43721.0,0.98,
881,882,close,j,43568.0,0.98,
882,883,sound,v,45311.0,0.94,1.0
883,884,enjoy,v,44020.0,0.97,
884,885,network,n,45122.0,0.94,1.0
885,886,legal,j,44820.0,0.95,1.0
886,887,religious,j,46425.0,0.91,1.0
887,888,cold,j,44649.0,0.95,
888,889,form,v,44646.0,0.95,1.0
889,890,final,j,43589.0,0.97,1.0
890,891,main,j,43707.0,0.97,1.0
891,892,science,n,45726.0,0.92,1.0
892,893,green,j,44673.0,0.94,
893,894,memory,n,43531.0,0.97,1.0
894,895,card,n,43605.0,0.96,
895,896,above,i,44130.0,0.95,
896,897,seat,n,44404.0,0.95,
897,898,cell,n,44831.0,0.94,1.0
898,899,establish,v,45921.0,0.91,1.0
899,900,nice,j,44792.0,0.93,
900,901,trial,n,44489.0,0.94,1.0
901,902,expert,n,43898.0,0.95,1.0
902,903,that,r,43359.0,0.96,
903,904,spring,n,44085.0,0.95,1.0
904,905,firm,n,44704.0,0.93,1.0
905,906,Democrat,n,46905.0,0.88,1.0
906,907,radio,n,43156.0,0.96,
907,908,visit,v,42941.0,0.96,1.0
908,909,management,n,45112.0,0.92,
909,910,care,v,42978.0,0.96,
910,911,avoid,v,42890.0,0.96,1.0
911,912,imagine,v,43487.0,0.95,1.0
912,913,tonight,r,47549.0,0.87,
913,914,huge,j,42582.0,0.96,1.0
914,915,ball,n,43512.0,0.94,1.0
915,916,no,u,44951.0,0.91,
916,917,close,r,42826.0,0.95,
917,918,finish,v,43143.0,0.95,
918,919,yourself,p,43401.0,0.94,
919,920,talk,n,43267.0,0.94,
920,921,theory,n,45553.0,0.9,1.0
921,922,impact,n,43782.0,0.93,1.0
922,923,respond,v,42139.0,0.96,1.0
923,924,statement,n,42941.0,0.94,1.0
924,925,maintain,v,43493.0,0.93,1.0
925,926,charge,n,42353.0,0.95,1.0
926,927,popular,j,42399.0,0.95,1.0
927,928,traditional,j,43681.0,0.92,1.0
928,929,onto,i,43538.0,0.92,1.0
929,930,reveal,v,42605.0,0.94,1.0
930,931,direction,n,41280.0,0.97,1.0
931,932,weapon,n,43158.0,0.93,1.0
932,933,employee,n,42824.0,0.93,1.0
933,934,cultural,j,45673.0,0.87,1.0
934,935,contain,v,42542.0,0.94,1.0
935,936,peace,n,42273.0,0.94,1.0
936,937,head,v,41658.0,0.95,1.0
937,938,control,v,41771.0,0.95,
938,939,base,n,41154.0,0.96,1.0
939,940,pain,n,41350.0,0.96,1.0
940,941,apply,v,42391.0,0.93,1.0
941,942,play,n,41662.0,0.95,
942,943,measure,n,43938.0,0.9,1.0
943,944,wide,j,41233.0,0.96,1.0
944,945,shake,v,45160.0,0.87,1.0
945,946,fly,v,41373.0,0.95,
946,947,interview,n,41594.0,0.95,1.0
947,948,manage,v,40536.0,0.97,1.0
948,949,chair,n,43256.0,0.91,1.0
949,950,fish,n,41488.0,0.95,
950,951,particular,j,42291.0,0.93,1.0
951,952,camera,n,41218.0,0.95,1.0
952,953,structure,n,43638.0,0.9,1.0
953,954,politics,n,41758.0,0.94,1.0
954,955,perform,v,41667.0,0.94,1.0
955,956,bit,n,41915.0,0.93,1.0
956,957,weight,n,41919.0,0.93,
957,958,suddenly,r,43382.0,0.9,1.0
958,959,discover,v,40489.0,0.97,1.0
959,960,candidate,n,43251.0,0.9,1.0
960,961,top,j,41484.0,0.94,
961,962,production,n,42052.0,0.93,1.0
962,963,treat,v,40264.0,0.97,1.0
963,964,trip,n,40423.0,0.96,
964,965,evening,n,40881.0,0.95,
965,966,affect,v,41496.0,0.93,1.0
966,967,inside,i,40856.0,0.95,1.0
967,968,conference,n,40643.0,0.95,1.0
968,969,unit,n,41087.0,0.94,1.0
969,970,best,r,39959.0,0.97,
970,971,style,n,40889.0,0.94,1.0
971,972,adult,n,40705.0,0.95,1.0
972,973,worry,v,40210.0,0.96,
973,974,range,n,41326.0,0.93,1.0
974,975,mention,v,39815.0,0.97,1.0
975,976,rather,i,41558.0,0.93,1.0
976,977,far,j,39967.0,0.96,1.0
977,978,deep,j,40126.0,0.96,1.0
978,979,past,n,39559.0,0.97,1.0
979,980,edge,n,40960.0,0.94,1.0
980,981,individual,j,42325.0,0.9,1.0
981,982,specific,j,42397.0,0.9,1.0
982,983,writer,n,39666.0,0.96,
983,984,trouble,n,39659.0,0.96,
984,985,necessary,j,40776.0,0.93,
985,986,throughout,i,40170.0,0.95,1.0
986,987,challenge,n,40380.0,0.94,1.0
987,988,fear,n,38857.0,0.98,1.0
988,989,shoulder,n,42843.0,0.89,1.0
989,990,institution,n,42153.0,0.9,1.0
990,991,middle,j,40402.0,0.94,1.0
991,992,sea,n,39516.0,0.96,
992,993,dream,n,39613.0,0.96,
993,994,bar,n,39853.0,0.95,
994,995,beautiful,j,40052.0,0.94,
995,996,property,n,40027.0,0.94,1.0
996,997,instead,r,39051.0,0.97,1.0
997,998,improve,v,40214.0,0.94,1.0
998,999,stuff,n,40180.0,0.94,1.0
999,1000,detail,n,38750.0,0.97,1.0
1000,1001,method,n,42667.0,0.88,
1001,1002,sign,v,39418.0,0.95,
1002,1003,somebody,p,41639.0,0.9,
1003,1004,magazine,n,39197.0,0.96,
1004,1005,hotel,n,39642.0,0.95,
1005,1006,soldier,n,39552.0,0.95,1.0
1006,1007,reflect,v,40687.0,0.92,1.0
1007,1008,heavy,j,39160.0,0.96,
1008,1009,sexual,j,41865.0,0.89,1.0
1009,1010,cause,n,38843.0,0.96,1.0
1010,1011,bag,n,40007.0,0.93,
1011,1012,heat,n,40363.0,0.92,
1012,1013,fall,n,38822.0,0.96,1.0
1013,1014,marriage,n,38517.0,0.96,1.0
1014,1015,tough,j,39600.0,0.94,1.0
1015,1016,sing,v,38575.0,0.96,
1016,1017,surface,n,39367.0,0.94,1.0
1017,1018,purpose,n,40084.0,0.92,1.0
1018,1019,exist,v,39341.0,0.94,
1019,1020,pattern,n,40397.0,0.91,1.0
1020,1021,whom,p,37950.0,0.97,
1021,1022,skin,n,39893.0,0.92,
1022,1023,agent,n,38265.0,0.96,1.0
1023,1024,owner,n,39492.0,0.93,
1024,1025,machine,n,38407.0,0.96,
1025,1026,gas,n,38194.0,0.96,1.0
1026,1027,down,i,39633.0,0.93,
1027,1028,ahead,r,39705.0,0.92,1.0
1028,1029,generation,n,38323.0,0.96,1.0
1029,1030,commercial,j,40608.0,0.9,1.0
1030,1031,address,v,39774.0,0.92,
1031,1032,cancer,n,39407.0,0.93,
1032,1033,test,v,38644.0,0.95,1.0
1033,1034,item,n,40336.0,0.91,1.0
1034,1035,reality,n,38397.0,0.95,1.0
1035,1036,coach,n,40716.0,0.9,1.0
1036,1037,step,v,39356.0,0.93,
1037,1038,Mrs,n,40545.0,0.9,
1038,1039,yard,n,39253.0,0.93,1.0
1039,1040,beat,v,38268.0,0.95,
1040,1041,violence,n,38474.0,0.94,1.0
1041,1042,total,j,38798.0,0.93,1.0
1042,1043,tend,v,38295.0,0.94,1.0
1043,1044,investment,n,38810.0,0.93,1.0
1044,1045,discussion,n,39616.0,0.91,1.0
1045,1046,finger,n,40842.0,0.88,1.0
1046,1047,garden,n,38800.0,0.93,1.0
1047,1048,notice,v,38910.0,0.92,
1048,1049,collection,n,38431.0,0.93,1.0
1049,1050,modern,j,38372.0,0.93,1.0
1050,1051,task,n,39209.0,0.91,1.0
1051,1052,partner,n,37540.0,0.95,1.0
1052,1053,positive,j,39310.0,0.91,1.0
1053,1054,civil,j,37742.0,0.95,1.0
1054,1055,kitchen,n,39332.0,0.91,1.0
1055,1056,consumer,n,38079.0,0.94,1.0
1056,1057,shot,n,37505.0,0.95,
1057,1058,budget,n,39165.0,0.91,1.0
1058,1059,wish,v,37532.0,0.95,
1059,1060,painting,n,39264.0,0.91,1.0
1060,1061,scientist,n,37700.0,0.94,1.0
1061,1062,safe,j,36547.0,0.97,
1062,1063,agreement,n,38141.0,0.93,1.0
1063,1064,capital,n,37443.0,0.95,1.0
1064,1065,mouth,n,40200.0,0.88,1.0
1065,1066,nor,c,37230.0,0.95,
1066,1067,victim,n,36878.0,0.96,1.0
1067,1068,newspaper,n,37522.0,0.94,
1068,1069,instead,i,36247.0,0.97,1.0
1069,1070,threat,n,37022.0,0.95,1.0
1070,1071,responsibility,n,37084.0,0.95,1.0
1071,1072,smile,v,41473.0,0.85,
1072,1073,attorney,n,37959.0,0.92,1.0
1073,1074,score,n,39294.0,0.89,1.0
1074,1075,account,n,36786.0,0.95,1.0
1075,1076,interesting,j,37473.0,0.93,
1076,1077,break,n,40348.0,0.86,1.0
1077,1078,audience,n,36227.0,0.96,1.0
1078,1079,rich,j,35940.0,0.97,
1079,1080,dinner,n,37156.0,0.94,
1080,1081,figure,v,36137.0,0.96,1.0
1081,1082,vote,n,39464.0,0.88,1.0
1082,1083,western,j,37389.0,0.93,1.0
1083,1084,relate,v,39143.0,0.89,1.0
1084,1085,travel,v,35746.0,0.97,
1085,1086,debate,n,37228.0,0.93,1.0
1086,1087,prevent,v,36421.0,0.95,1.0
1087,1088,citizen,n,36408.0,0.95,1.0
1088,1089,majority,n,36758.0,0.94,1.0
1089,1090,none,p,35359.0,0.98,
1090,1091,front,i,37363.0,0.92,1.0
1091,1092,born,v,35352.0,0.97,
1092,1093,admit,v,35143.0,0.97,1.0
1093,1094,senior,j,36598.0,0.93,1.0
1094,1095,assume,v,35960.0,0.95,1.0
1095,1096,wind,n,36478.0,0.94,1.0
1096,1097,key,j,36056.0,0.95,
1097,1098,professional,j,36319.0,0.93,1.0
1098,1099,mission,n,35217.0,0.96,1.0
1099,1100,fast,r,35474.0,0.95,0.0
1100,1101,alone,r,34982.0,0.96,0.0
1101,1102,customer,n,36000.0,0.94,
1102,1103,suffer,v,34675.0,0.97,
1103,1104,speech,n,35504.0,0.95,
1104,1105,successful,j,35459.0,0.95,0.0
1105,1106,option,n,35434.0,0.95,
1106,1107,participant,n,41462.0,0.81,
1107,1108,southern,j,35314.0,0.95,
1108,1109,fresh,j,35974.0,0.93,
1109,1110,eventually,r,34534.0,0.97,
1110,1111,no,p,35016.0,0.96,0.0
1111,1112,forest,n,35429.0,0.94,
1112,1113,video,n,35230.0,0.95,0.0
1113,1114,global,j,36381.0,0.92,
1114,1115,Senate,n,36809.0,0.91,
1115,1116,reform,n,36103.0,0.92,
1116,1117,access,n,35310.0,0.94,
1117,1118,restaurant,n,35898.0,0.93,0.0
1118,1119,judge,n,35464.0,0.94,
1119,1120,publish,v,35062.0,0.95,0.0
1120,1121,cost,v,34941.0,0.95,
1121,1122,relation,n,36963.0,0.89,
1122,1123,like,c,35636.0,0.93,0.0
1123,1124,release,v,34301.0,0.96,
1124,1125,own,v,34577.0,0.95,0.0
1125,1126,bird,n,34835.0,0.94,0.0
1126,1127,opinion,n,34501.0,0.95,
1127,1128,credit,n,34578.0,0.95,
1128,1129,critical,j,35824.0,0.92,
1129,1130,corner,n,35496.0,0.93,
1130,1131,concerned,j,34331.0,0.96,
1131,1132,recall,v,34442.0,0.95,
1132,1133,version,n,34456.0,0.95,
1133,1134,stare,v,39266.0,0.83,
1134,1135,safety,n,34188.0,0.96,
1135,1136,effective,j,35851.0,0.91,
1136,1137,neighborhood,n,34691.0,0.94,
1137,1138,original,j,34368.0,0.95,
1138,1139,act,n,34104.0,0.96,
1139,1140,troop,n,36001.0,0.91,
1140,1141,income,n,34925.0,0.93,
1141,1142,directly,r,34090.0,0.96,
1142,1143,hurt,v,34445.0,0.94,
1143,1144,species,n,35804.0,0.91,
1144,1145,immediately,r,33067.0,0.98,
1145,1146,track,n,33788.0,0.96,
1146,1147,basic,j,34788.0,0.93,
1147,1148,strike,v,33238.0,0.97,
1148,1149,hope,n,33019.0,0.98,0.0
1149,1150,sky,n,35141.0,0.92,
1150,1151,freedom,n,34174.0,0.94,0.0
1151,1152,absolutely,r,36740.0,0.88,
1152,1153,plane,n,33900.0,0.95,
1153,1154,nobody,p,34280.0,0.94,0.0
1154,1155,achieve,v,35166.0,0.92,
1155,1156,object,n,35040.0,0.92,
1156,1157,attitude,n,35437.0,0.91,
1157,1158,labor,n,34400.0,0.93,
1158,1159,refer,v,34317.0,0.94,
1159,1160,concept,n,35944.0,0.89,
1160,1161,client,n,34027.0,0.94,
1161,1162,powerful,j,33151.0,0.97,
1162,1163,perfect,j,33456.0,0.96,0.0
1163,1164,nine,m,32967.0,0.97,0.0
1164,1165,therefore,r,35842.0,0.89,
1165,1166,conduct,v,34909.0,0.91,
1166,1167,announce,v,33305.0,0.96,
1167,1168,conversation,n,33046.0,0.96,
1168,1169,examine,v,35826.0,0.89,
1169,1170,touch,v,34737.0,0.92,0.0
1170,1171,please,r,34709.0,0.92,0.0
1171,1172,attend,v,33380.0,0.95,
1172,1173,completely,r,32550.0,0.98,
1173,1174,vote,v,35224.0,0.9,
1174,1175,variety,n,34242.0,0.93,
1175,1176,sleep,v,34801.0,0.91,0.0
1176,1177,turn,n,32944.0,0.96,
1177,1178,involved,j,33428.0,0.95,
1178,1179,investigation,n,33849.0,0.94,
1179,1180,nuclear,j,34264.0,0.92,
1180,1181,researcher,n,34742.0,0.91,
1181,1182,press,n,33410.0,0.94,
1182,1183,conflict,n,34710.0,0.91,
1183,1184,spirit,n,32942.0,0.96,
1184,1185,experience,v,34009.0,0.92,
1185,1186,replace,v,32688.0,0.96,
1186,1187,British,j,32929.0,0.95,
1187,1188,encourage,v,33348.0,0.94,
1189,1189,argument,n,33394.0,0.94,
1190,1190,by,r,32560.0,0.96,0.0
1191,1191,once,c,32180.0,0.97,0.0
1192,1192,camp,n,32659.0,0.95,
1193,1193,brain,n,32852.0,0.95,
1194,1194,feature,n,33344.0,0.93,
1195,1195,afternoon,n,33202.0,0.94,0.0
1196,1196,AM,r,34451.0,0.9,
1197,1197,weekend,n,33239.0,0.93,0.0
1198,1198,dozen,m,32432.0,0.96,
1199,1199,possibility,n,32466.0,0.95,
1200,1200,along,r,32475.0,0.95,0.0
1201,1201,insurance,n,32928.0,0.94,
1202,1202,department,n,32252.0,0.96,
1203,1203,battle,n,31989.0,0.96,
1204,1204,beginning,n,31866.0,0.97,
1205,1205,date,n,31467.0,0.98,0.0
1206,1206,generally,r,33191.0,0.93,
1207,1207,African,j,34557.0,0.89,
1208,1208,very,j,31807.0,0.96,0.0
1209,1209,sorry,j,34270.0,0.89,0.0
1210,1210,crisis,n,32924.0,0.93,
1211,1211,complete,v,32813.0,0.93,
1212,1212,fan,n,32919.0,0.93,
1213,1213,stick,v,32259.0,0.94,
1214,1214,define,v,33958.0,0.9,
1215,1215,easily,r,31755.0,0.96,0.0
1216,1216,through,r,31838.0,0.96,0.0
1217,1217,hole,n,32302.0,0.94,
1218,1218,element,n,33053.0,0.92,
1219,1219,vision,n,32358.0,0.94,
1220,1220,status,n,33511.0,0.91,
1221,1221,normal,j,31265.0,0.97,0.0
1222,1222,Chinese,j,32334.0,0.94,0.0
1223,1223,ship,n,32588.0,0.93,
1224,1224,solution,n,32052.0,0.94,0.0
1225,1225,stone,n,32531.0,0.93,
1226,1226,slowly,r,33403.0,0.9,
1227,1227,scale,n,34375.0,0.88,
1228,1228,bit,r,32087.0,0.94,0.0
1229,1229,university,n,33000.0,0.91,
1230,1230,introduce,v,31345.0,0.96,
1231,1231,driver,n,31633.0,0.95,0.0
1232,1232,attempt,n,31944.0,0.94,
1233,1233,park,n,32322.0,0.93,0.0
1234,1234,spot,n,31612.0,0.95,
1235,1235,lack,n,32157.0,0.93,
1236,1236,ice,n,31686.0,0.95,0.0
1237,1237,boat,n,32079.0,0.93,0.0
1238,1238,drink,v,32078.0,0.93,0.0
1239,1239,sun,n,32646.0,0.92,0.0
1240,1240,front,j,32087.0,0.93,
1241,1241,distance,n,31380.0,0.95,
1242,1242,wood,n,31801.0,0.93,
1243,1243,handle,v,30634.0,0.97,
1244,1244,truck,n,31536.0,0.94,
1245,1245,return,n,31058.0,0.95,0.0
1246,1246,mountain,n,31322.0,0.94,
1247,1247,survey,n,32784.0,0.9,
1248,1248,supposed,j,31005.0,0.95,
1249,1249,tradition,n,32110.0,0.92,
1250,1250,winter,n,31227.0,0.95,0.0
1251,1251,village,n,30741.0,0.96,
1252,1252,Soviet,j,36193.0,0.82,
1253,1253,refuse,v,30173.0,0.98,
1254,1254,sales,n,32145.0,0.91,0.0
1255,1255,roll,v,31592.0,0.93,
1256,1256,communication,n,31577.0,0.93,
1257,1257,run,n,31325.0,0.94,0.0
1258,1258,screen,n,30758.0,0.95,
1259,1259,gain,v,30667.0,0.95,
1260,1260,resident,n,31836.0,0.92,
1261,1261,hide,v,31098.0,0.94,0.0
1262,1262,gold,n,30733.0,0.95,
1263,1263,club,n,30800.0,0.95,
1264,1264,future,j,31494.0,0.92,
1265,1265,farm,n,30291.0,0.96,
1266,1266,potential,j,31289.0,0.93,
1267,1267,increase,n,31247.0,0.93,
1268,1268,middle,n,30199.0,0.96,
1269,1269,European,j,31455.0,0.92,
1270,1270,presence,n,30624.0,0.95,
1271,1271,independent,j,31044.0,0.93,
1272,1272,district,n,31327.0,0.92,
1273,1273,shape,n,30396.0,0.95,
1274,1274,reader,n,31442.0,0.92,
1275,1275,Ms,n,31610.0,0.91,0.0
1276,1276,contract,n,30906.0,0.93,
1277,1277,crowd,n,30542.0,0.94,
1278,1278,Christian,j,30726.0,0.94,
1279,1279,express,v,30947.0,0.93,
1280,1280,apartment,n,31012.0,0.93,
1281,1281,willing,j,29635.0,0.97,
1282,1282,strength,n,29769.0,0.96,
1283,1283,previous,j,30490.0,0.94,
1284,1284,band,n,29769.0,0.96,
1285,1285,obviously,r,31299.0,0.91,
1286,1286,horse,n,30993.0,0.92,
1287,1287,interested,j,29155.0,0.98,
1288,1288,target,n,29866.0,0.96,
1289,1289,prison,n,30248.0,0.94,
1290,1290,ride,v,30476.0,0.94,
1291,1291,guard,n,30159.0,0.94,
1292,1292,terms,i,30996.0,0.92,
1293,1293,demand,n,30519.0,0.93,
1294,1294,reporter,n,30416.0,0.93,
1295,1295,deliver,v,29169.0,0.97,
1296,1296,text,n,32316.0,0.88,0.0
1297,1297,share,n,30752.0,0.92,
1298,1298,tool,n,30286.0,0.93,0.0
1299,1299,wild,j,29473.0,0.96,
1300,1300,vehicle,n,29421.0,0.96,
1301,1301,observe,v,30737.0,0.92,
1302,1302,flight,n,29535.0,0.95,
1303,1303,inside,r,30715.0,0.91,
1304,1304,facility,n,30107.0,0.93,
1305,1305,understanding,n,31319.0,0.89,
1306,1306,average,j,29717.0,0.94,
1307,1307,emerge,v,29496.0,0.95,
1308,1308,advantage,n,29340.0,0.95,
1309,1309,quick,j,29108.0,0.96,0.0
1310,1310,light,j,29731.0,0.94,
1311,1311,leadership,n,30047.0,0.93,
1312,1312,earn,v,29560.0,0.94,
1313,1313,pound,n,29946.0,0.93,
1314,1314,basis,n,30377.0,0.92,
1315,1315,bright,j,29780.0,0.93,
1316,1316,operate,v,29345.0,0.95,
1317,1317,guest,n,29328.0,0.95,
1318,1318,sample,n,32436.0,0.86,0.0
1319,1319,contribute,v,30090.0,0.92,
1320,1320,tiny,j,29756.0,0.93,
1321,1321,block,n,28826.0,0.96,
1322,1322,protection,n,29336.0,0.94,
1323,1323,settle,v,28827.0,0.96,
1324,1324,feed,v,28494.0,0.97,
1325,1325,collect,v,28946.0,0.95,
1326,1326,additional,j,29771.0,0.93,
1327,1327,while,n,29579.0,0.93,0.0
1328,1328,highly,r,29554.0,0.93,
1329,1329,identity,n,31163.0,0.88,
1330,1330,title,n,29210.0,0.94,
1331,1331,mostly,r,28178.0,0.97,
1332,1332,lesson,n,28623.0,0.96,
1333,1333,faith,n,28710.0,0.95,
1334,1334,river,n,28862.0,0.95,
1335,1335,promote,v,29679.0,0.92,
1336,1336,living,n,28736.0,0.95,
1337,1337,present,j,30645.0,0.89,
1338,1338,count,v,28836.0,0.95,
1339,1339,unless,c,27908.0,0.98,
1340,1340,marry,v,28722.0,0.95,
1341,1341,tomorrow,r,30098.0,0.91,0.0
1342,1342,technique,n,29828.0,0.91,
1343,1343,path,n,28344.0,0.96,
1344,1344,ear,n,29597.0,0.92,
1345,1345,shop,n,28589.0,0.95,0.0
1346,1346,folk,n,28698.0,0.94,
1347,1347,order,v,27950.0,0.97,
1348,1348,principle,n,30011.0,0.9,
1349,1349,survive,v,27682.0,0.98,
1350,1350,lift,v,29354.0,0.92,
1351,1351,border,n,28636.0,0.94,
1352,1352,competition,n,28752.0,0.93,
1353,1353,jump,v,28504.0,0.94,0.0
1354,1354,gather,v,27659.0,0.97,
1355,1355,limit,v,28901.0,0.93,0.0
1356,1356,fit,v,27875.0,0.96,
1357,1357,claim,n,28609.0,0.94,
1358,1358,cry,v,29690.0,0.9,
1359,1359,equipment,n,28023.0,0.95,
1360,1360,worth,i,27687.0,0.97,
1361,1361,associate,v,30406.0,0.88,
1362,1362,critic,n,28244.0,0.94,
1363,1363,warm,j,28600.0,0.93,
1364,1364,aspect,n,29460.0,0.9,
1365,1365,result,v,29515.0,0.9,0.0
1366,1366,insist,v,27205.0,0.97,
1367,1367,failure,n,28234.0,0.94,
1368,1368,annual,j,28471.0,0.93,
1369,1369,French,j,27590.0,0.96,
1370,1370,Christmas,n,28046.0,0.94,
1371,1371,comment,n,27712.0,0.95,
1372,1372,responsible,j,27569.0,0.96,
1373,1373,affair,n,27432.0,0.96,
1374,1374,approach,v,27449.0,0.96,
1375,1375,until,i,27007.0,0.97,0.0
1376,1376,procedure,n,29044.0,0.9,
